The Complete Ocarina of Time Object list

Provided by: Zelda's Secret Ocarina
004C : 0124E000-01252FD0 : object_oE4  
004D : 01253000-0125BB10 : object_menkuri_objects  
004E : 0125C000-012615C0 : object_oE5  
004F : 01262000-01264E50 : object_oE6  
0050 : 01265000-01267A60 : object_oE7  
0051 : 01268000-0126B3D0 : object_oE8  
0052 : 0126C000-0126EF10 : object_oE9  
0053 : 0126F000-012719D0 : object_oE10 
0054 : 01272000-012751F0 : object_oE11 
0055 : 01276000-012797C0 : object_oE12 
0056 : 0127A000-0127E850 : object_vali 
0057 : 0127F000-01281EB0 : object_oA10 
0058 : 01282000-012835C0 : object_oA11 
0059 : 01284000-0128F320 : object_mizu_objects 
005A : 01290000-012A21E0 : object_fhg  
005B : 012A3000-012ACB50 : object_ossan    
005C : 012AD000-012B24F0 : object_mori_hineri1 
005D : 012B3000-012B4A40 : object_Bb   
005E : 012B5000-012BD450 : object_toki_objects 
005F : 012BE000-012BF4F0 : object_yukabyun 
0060 : 012C0000-012D0D80 : object_zl2  
0061 : 012D1000-012D2290 : object_mjin 
0062 : 012D3000-012D4000 : object_mjin_flash   
0063 : 012D4000-012D5000 : object_mjin_dark    
0064 : 012D5000-012D6000 : object_mjin_flame   
0065 : 012D6000-012D7000 : object_mjin_ice 
0066 : 012D7000-012D8000 : object_mjin_soul    
0067 : 012D8000-012D9000 : object_mjin_wind    
0068 : 012D9000-012DAB60 : object_mjin_oka 
0069 : 012DB000-012F86B0 : object_haka_objects 
006A : 012F9000-012FBDA0 : object_spot06_objects   
006B : 012FC000-01304D50 : object_ice_objects  
006C : 01305000-01308630 : object_relay_objects    
006D : 01931000-01937A40 : object_po_field 
006E : 01985000-0198BFA0 : object_po_composer  
006F : 01309000-0130C4C0 : object_mori_hineri1a    
0070 : 0130D000-01311400 : object_mori_hineri2 
0071 : 01312000-013180B0 : object_mori_hineri2a    
0072 : 01319000-01321A10 : object_mori_objects 
0073 : 01322000-0132BE00 : object_mori_tex 
0074 : 0132C000-01331600 : object_spot08_obj   
0075 : 01332000-01332010 : object_warp2    
0076 : 01333000-01335FE0 : object_hata 
0077 : 01336000-013381A0 : object_bird 
0078 : 00000000-00000000 : BLANK
0079 : 00000000-00000000 : BLANK
007A : 00000000-00000000 : BLANK
007B : 00000000-00000000 : BLANK
007C : 01339000-013417D0 : object_wood02   
007D : 00000000-00000000 : BLANK
007E : 00000000-00000000 : BLANK
007F : 00000000-00000000 : BLANK
0080 : 00000000-00000000 : BLANK
0081 : 01342000-01343F40 : object_lightbox 
0082 : 01344000-01345600 : object_pu_box   
0083 : 00000000-00000000 : BLANK
0084 : 00000000-00000000 : BLANK
0085 : 01346000-013483E0 : object_trap 
0086 : 01349000-0134A590 : object_vase 
0087 : 0134B000-0135D230 : object_im   
0088 : 0135E000-0136C3F0 : object_ta   
0089 : 0136D000-01378E50 : object_tk   
008A : 01379000-01395100 : object_xc   
008B : 01396000-01399F70 : object_vm   
008C : 0139A000-013B91B0 : object_bv   
008D : 013BA000-013C0AF0 : object_hakach_objects   
008E : 013C1000-013C1AA0 : object_efc_crystal_light    
008F : 013C2000-013C2D00 : object_efc_fire_ball    
0090 : 013C3000-013C3010 : object_efc_flash    
0091 : 013C4000-013C52D0 : object_efc_lgt_shower   
0092 : 013C6000-013C77D0 : object_efc_star_field   
0093 : 013C8000-013CC350 : object_god_lgt  
0094 : 013CD000-013CE280 : object_light_ring   
0095 : 013CF000-013D1910 : object_triforce_spot    
0096 : 013D8000-013E4D10 : object_bdan_objects 
0097 : 013E5000-013F16E0 : object_sd   
0098 : 013F2000-01400FF0 : object_rd   
0099 : 01401000-0140F3C0 : object_po_sisters   
009A : 01410000-01411AE0 : object_heavy_object 
009B : 01412000-01423A00 : object_gndd 
009C : 01424000-01435670 : object_fd   
009D : 01436000-01448030 : object_du   
009E : 01449000-01450DE0 : object_fw   
009F : 013D2000-013D7140 : object_medal    
00A0 : 01451000-01459B20 : object_horse_link_child 
00A1 : 0145A000-01470620 : object_spot02_objects   
00A2 : 01471000-01472460 : object_haka 
00A3 : 01473000-01486A80 : object_ru1  
00A4 : 01487000-0148AC90 : object_syokudai 
00A5 : 0148B000-0149CA90 : object_fd2  
00A6 : 0149D000-014A60C0 : object_dh   
00A7 : 014A7000-014AEB50 : object_rl   
00A8 : 014AF000-014B02F0 : object_efc_tw   
00A9 : 014B1000-014B1010 : object_demo_tre_lgt 
00AA : 014B2000-014B2A20 : object_gi_key   
00AB : 014B3000-014B4D00 : object_mir_ray  
00AC : 014B5000-014B6AA0 : object_brob 
00AD : 014B7000-014BA680 : object_gi_jewel 
00AE : 014BB000-014D3890 : object_spot09_obj   
00AF : 014D4000-014E0A10 : object_spot18_obj   
00B0 : 014E1000-014E85C0 : object_bdoor    
00B1 : 014E9000-014EA830 : object_spot17_obj   
00B2 : 014EB000-014EEA20 : object_shop_dungen  
00B3 : 014EF000-015071E0 : object_nb   
00B4 : 01508000-01511070 : object_mo   
00B5 : 01512000-01514CA0 : object_sb   
00B6 : 01515000-01515D20 : object_gi_melody    
00B7 : 01516000-015161F0 : object_gi_heart 
00B8 : 01517000-01517D10 : object_gi_compass   
00B9 : 01518000-01519010 : object_gi_bosskey   
00BA : 0151A000-0151F370 : object_gi_medal 
00BB : 01520000-015211C0 : object_gi_nuts  
00BC : 01522000-01537230 : object_sa   
00BD : 01538000-015397B0 : object_gi_hearts    
00BE : 0153A000-0153ACB0 : object_gi_arrowcase 
00BF : 0153B000-0153BE60 : object_gi_bombpouch 
00C0 : 0153C000-01554C50 : object_in   
00C1 : 01555000-01567E30 : object_tr   
00C2 : 01568000-01569500 : object_spot16_obj   
00C3 : 0156A000-01570560 : object_oE1s 
00C4 : 01571000-01575E00 : object_oE4s 
00C5 : 01576000-01580640 : object_os_anime 
00C6 : 01581000-015818F0 : object_gi_bottle    
00C7 : 01582000-015826C0 : object_gi_stick 
00C8 : 01583000-01584160 : object_gi_map   
00C9 : 01585000-015955A0 : object_oF1d_map 
00CA : 01596000-015A58D0 : object_ru2  
00CB : 015A6000-015A6D50 : object_gi_shield_1  
00CC : 015A7000-015AA510 : object_dekujr   
00CD : 015AB000-015AC1D0 : object_gi_magicpot  
00CE : 015AD000-015ADCB0 : object_gi_bomb_1    
00CF : 015AE000-015B68A0 : object_oF1s 
00D0 : 015B7000-015C0EF0 : object_ma2  
00D1 : 015C1000-015C2B70 : object_gi_purse 
00D2 : 015C3000-015CDF70 : object_hni  
00D3 : 015CE000-01608FB0 : object_tw   
00D4 : 01609000-01609E00 : object_rr   
00D5 : 0160A000-0160CBF0 : object_bxa  
00D6 : 0160D000-016109A0 : object_anubice  
00D7 : 01611000-01612340 : object_gi_gerudo    
00D8 : 01613000-01614B10 : object_gi_arrow 
00D9 : 01615000-016156A0 : object_gi_bomb_2    
00DA : 01616000-01617320 : object_gi_egg   
00DB : 01618000-01618DF0 : object_gi_scale 
00DC : 01619000-0161A070 : object_gi_shield_2  
00DD : 0161B000-0161C560 : object_gi_hookshot  
00DE : 0161D000-0161DBB0 : object_gi_ocarina   
00DF : 0161E000-0161F470 : object_gi_milk  
00E0 : 01620000-01628D80 : object_ma1  
00E1 : 01629000-0163A500 : object_ganon    
00E2 : 0163B000-01655BB0 : object_sst  
00E3 : 01656000-01656000 : BLANK
00E4 : 00000000-00000000 : BLANK
00E5 : 01656000-01658170 : object_ny   
00E6 : 01659000-016644B0 : object_fr   
00E7 : 01665000-01665C60 : object_gi_pachinko  
00E8 : 01666000-01666DA0 : object_gi_boomerang 
00E9 : 01667000-01667D30 : object_gi_bow   
00EA : 01668000-01669180 : object_gi_glasses   
00EB : 0166A000-0166B8D0 : object_gi_liquid    
00EC : 0166C000-01673700 : object_ani  
00ED : 01674000-01677BA0 : object_demo_6k  
00EE : 01678000-016792C0 : object_gi_shield_3  
00EF : 0167A000-0167AE00 : object_gi_letter    
00F0 : 0167B000-0167CD00 : object_spot15_obj   
00F1 : 0167D000-01699140 : object_jya_obj  
00F2 : 0169A000-0169B860 : object_gi_clothes   
00F3 : 0169C000-0169C8C0 : object_gi_bean  
00F4 : 0169D000-0169D950 : object_gi_fish  
00F5 : 0169E000-0169EB80 : object_gi_saw   
00F6 : 0169F000-0169FCC0 : object_gi_hammer    
00F7 : 016A0000-016A0C10 : object_gi_grass 
00F8 : 016A1000-016A18C0 : object_gi_longsword 
00F9 : 016A2000-016A4490 : object_spot01_objects   
00FA : 016A5000-016A5000 : BLANK
00FB : 016A5000-016AF150 : object_md   
00FC : 016B0000-016B59C0 : object_km1  
00FD : 016B6000-016BC8E0 : object_kw1  
00FE : 016BD000-016C9040 : object_zo   
00FF : 016CA000-016D26E0 : object_kz   
0100 : 016D3000-016D4470 : object_umajump  
0101 : 016D5000-016D54C0 : object_masterkokiri 
0102 : 016D6000-016D8CA0 : object_masterkokirihead 
0103 : 016D9000-016D9110 : object_mastergolon  
0104 : 016DA000-016DA7A0 : object_masterzoora  
0105 : 016DB000-016E06B0 : object_aob  
0106 : 016E1000-017015D0 : object_ik   
0107 : 01702000-017079B0 : object_ahg  
0108 : 01708000-0170A9D0 : object_cne  
0109 : 0170B000-0170C9F0 : object_gi_niwatori  
010A : 0170D000-01715E30 : object_skj  
010B : 01716000-01716C80 : object_gi_bottle_letter 
010C : 01717000-0171B190 : object_bji  
010D : 0171C000-01720290 : object_bba  
010E : 01721000-01721C10 : object_gi_ocarina_0 
010F : 01722000-01726780 : object_ds   
0110 : 01727000-0172DFB0 : object_ane  
0111 : 0172E000-01733CC0 : object_boj  
0112 : 01734000-01735660 : object_spot03_object    
0113 : 01736000-0173CD30 : object_spot07_object    
0114 : 0173D000-017404D0 : object_fz   
0115 : 01741000-01745F20 : object_bob  
0116 : 01746000-017504B0 : object_ge1  
0117 : 01751000-01751E50 : object_yabusame_point   
0118 : 01752000-01753BC0 : object_gi_boots_2   
0119 : 01754000-01754AC0 : object_gi_seed  
011A : 01755000-01756280 : object_gnd_magic    
011B : 01757000-01758390 : object_d_elevator   
011C : 01759000-0175A760 : object_d_hsblock    
011D : 0175B000-0175C800 : object_d_lift   
011E : 0175D000-0175F6E0 : object_mamenoki 
011F : 01760000-017618A0 : object_goroiwa  
0120 : 00000000-00000000 : BLANK
0121 : 01762000-01769160 : object_toryo    
0122 : 0176A000-01772870 : object_daiku    
0123 : 00000000-00000000 : BLANK
0124 : 01773000-01773DA0 : object_nwc  
0125 : 01774000-01787890 : object_blkobj   
0126 : 01788000-017882D0 : object_gm   
0127 : 01789000-0178CDD0 : object_ms   
0128 : 0178D000-01793270 : object_hs   
0129 : 01794000-017951F0 : object_ingate   
012A : 01796000-01798420 : object_lightswitch  
012B : 01799000-01799380 : object_kusa 
012C : 0179A000-0179B9F0 : object_tsubo    
012D : 0179C000-0179D960 : object_gi_gloves    
012E : 0179E000-0179E850 : object_gi_coin  
012F : 0179F000-017A07B0 : object_kanban   
0130 : 017A1000-017A25F0 : object_gjyo_objects 
0131 : 017A3000-017B30C0 : object_owl  
0132 : 017B4000-017B9E00 : object_mk   
0133 : 017BA000-017C0CA0 : object_fu   
0134 : 017C1000-017C1DF0 : object_gi_ki_tan_mask   
0135 : 017C2000-017C2A90 : object_gi_redead_mask   
0136 : 017C3000-017C3CE0 : object_gi_skj_mask  
0137 : 017C4000-017C4F00 : object_gi_rabit_mask    
0138 : 017C5000-017C6860 : object_gi_truth_mask    
0139 : 017C7000-017C8170 : object_ganon_objects    
013A : 017C9000-017C9DB0 : object_siofuki  
013B : 017CA000-017CAA80 : object_stream   
013C : 017CB000-017D3070 : object_mm   
013D : 017D4000-017D7B90 : object_fa   
013E : 017D8000-017DC670 : object_os   
013F : 017DD000-017DD970 : object_gi_eye_lotion    
0140 : 017DE000-017DEB80 : object_gi_powder    
0141 : 017DF000-017DFCD0 : object_gi_mushroom  
0142 : 017E0000-017E12A0 : object_gi_ticketstone   
0143 : 017E2000-017E2990 : object_gi_brokensword   
0144 : 017E3000-017E8F30 : object_js   
0145 : 017E9000-017F1550 : object_cs   
0146 : 017F2000-017F2C20 : object_gi_prescription  
0147 : 017F3000-017F3BF0 : object_gi_bracelet  
0148 : 017F4000-017F44D0 : object_gi_soldout   
0149 : 017F5000-017F6110 : object_gi_frog  
014A : 017F7000-0181C940 : object_mag  
014B : 0181D000-0181D9A0 : object_door_gerudo  
014C : 0181E000-018315F0 : object_gt   
014D : 01832000-018348F0 : object_efc_erupc    
014E : 01835000-01840610 : object_zl2_anime1   
014F : 01841000-0184BAE0 : object_zl2_anime2   
0150 : 0184C000-0184D7B0 : object_gi_golonmask 
0151 : 0184E000-0184F630 : object_gi_zoramask  
0152 : 01850000-01851400 : object_gi_gerudomask    
0153 : 01852000-01887BF0 : object_ganon2   
0154 : 01888000-0188E7C0 : object_ka   
0155 : 0188F000-01893FF0 : object_ts   
0156 : 01894000-01895200 : object_zg   
0157 : 01896000-01897E70 : object_gi_hoverboots    
0158 : 01898000-01898E80 : object_gi_m_arrow   
0159 : 01899000-0189D270 : object_ds2  
015A : 0189E000-018AA930 : object_ec   
015B : 018AB000-018C05F0 : object_fish 
015C : 018C1000-018C1650 : object_gi_sutaru    
015D : 018C2000-018C2C50 : object_gi_goddess   
015E : 018C3000-018C8C00 : object_ssh  
015F : 018C9000-018CFBD0 : object_bigokuta 
0160 : 018D0000-018D72C0 : object_bg   
0161 : 018D8000-018D92F0 : object_spot05_objects   
0162 : 018DA000-018DC3C0 : object_spot12_obj   
0163 : 018DD000-018DDB00 : object_bombiwa  
0164 : 018DE000-018E1140 : object_hintnuts 
0165 : 018E2000-018E6880 : object_rs   
0166 : 018E7000-018E8E20 : object_spot00_break 
0167 : 018E9000-018F2EF0 : object_gla  
0168 : 018F3000-018F7590 : object_shopnuts 
0169 : 018F8000-019036F0 : object_geldb    
016A : 01904000-0190DC90 : object_gr   
016B : 0190E000-019152A0 : object_dog  
016C : 01916000-01918660 : object_jya_iron 
016D : 01919000-0191B280 : object_jya_door 
016E : 00000000-00000000 : BLANK
016F : 0191D000-0191EA90 : object_spot11_obj   
0170 : 0191F000-019200C0 : object_kibako2  
0171 : 01921000-019247D0 : object_dns  
0172 : 01925000-01927E30 : object_dnk  
0173 : 01928000-01928FE0 : object_gi_fire  
0174 : 01929000-01929BF0 : object_gi_insect    
0175 : 0192A000-0192ABD0 : object_gi_butterfly 
0176 : 0192B000-0192BDB0 : object_gi_ghost 
0177 : 0192C000-0192CFB0 : object_gi_soul  
0178 : 0192D000-019304F0 : object_bowl 
0179 : 01938000-01946D10 : object_demo_kekkai  
017A : 01947000-01948050 : object_efc_doughnut 
017B : 01949000-0194A050 : object_gi_dekupouch 
017C : 0194B000-01956C40 : object_ganon_anime1 
017D : 01957000-01967530 : object_ganon_anime2 
017E : 01968000-0197C7F0 : object_ganon_anime3 
017F : 0197D000-0197D800 : object_gi_rupy  
0180 : 0197E000-01981C90 : object_spot01_matoya    
0181 : 01982000-019841E0 : object_spot01_matoyab   
0182 : 0198C000-01996E50 : object_mu   
0183 : 01997000-019A1500 : object_wf   
0184 : 019A2000-019A6810 : object_skb  
0185 : 019A7000-019B1720 : object_gj   
0186 : 019B2000-019B2FB0 : object_geff 
0187 : 019B3000-019B6970 : object_haka_door    
0188 : 019B7000-019B7A80 : object_gs   
0189 : 019B8000-019C4900 : object_ps   
018A : 019C5000-019C6150 : object_bwall    
018B : 019C9000-019CDEB0 : object_cow  
018C : 019CE000-019D0210 : object_cob  
018D : 019D1000-019D1D20 : object_gi_sword_1   
018E : 019D2000-019D3BE0 : object_door_killer  
018F : 019D4000-019D4970 : object_ouke_haka    
0190 : 019D5000-019D5B60 : object_timeblock    
0191 : 019D6000-019F2E20 : object_zl4  
