Number		Start (hex)	End (hex)	vStart (hex)	vEnd (hex)	Object	Size(kb)	Name
0195 (0x00C3)	00E66E00	00E6B7F0	80AB0D90	80AB5780	00B3	18.484		ovl_En_Nb
0196 (0x00C4)	00CE5160	00CF1120	8091BB00	8092C5D0	00B4	47.937		ovl_Boss_Mo
0197 (0x00C5)	00EAD7D0	00EAEC50	80AF77F0	80AF8C70	00B5	5.1250		ovl_En_Sb
0198 (0x00C6)	00D76290	00D78ED0	809BCC60	809BF8A0	015F	11.062		ovl_En_Bigokuta
0199 (0x00C7)	00E4B3C0	00E4CE20	80A95350	80A96DB0	0039	6.5937		ovl_En_Karebaba
0200 (0x00C8)	00C3AA70	00C3BDE0	8086BCA0	8086D010	0096	4.8593		ovl_Bg_Bdan_Objects
0201 (0x00C9)	00D47AA0	00D4A870	8098E460	80991230	00BC	11.453		ovl_Demo_Sa
0202 (0x00CA)	00D35F00	00D36D00	8097C870	8097D670	00C9	3.5000		ovl_Demo_Go
0203 (0x00CB)	00E2FB80	00E329F0	80A78FB0	80A7BE20	00C0	11.609		ovl_En_In
0204 (0x00CC)	00ED8B40	00EDA4B0	80B22CF0	80B24660	00C1	6.3593		ovl_En_Tr
0205 (0x00CD)	00C83930	00C85140	808B4C30	808B6440	00C2	6.0156		ovl_Bg_Spot16_Bombstone
0206 (0x00CE)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0207 (0x00CF)	00C58D60	00C59DC0	8088A020	8088B080	002C	4.0937		ovl_Bg_Hidan_Kowarerukabe
0208 (0x00D0)	00C3D5A0	00C3DF30	8086E7D0	8086F160	0002	2.3906		ovl_Bg_Bombwall
0209 (0x00D1)	00C7F660	00C807E0	808B0960	808B1AE0	0074	4.3750		ovl_Bg_Spot08_Iceblock
0210 (0x00D2)	00EA8530	00EAB540	80AF2550	80AF5560	00CA	12.015		ovl_En_Ru2
0211 (0x00D3)	00F41040	00F41720	80B92420	80B92B00	00CC	1.7187		ovl_Obj_Dekujr
0212 (0x00D4)	00C6E400	00C6E5D0	8089F6E0	8089F8B0	0059	0.4531		ovl_Bg_Mizu_Uzu
0213 (0x00D5)	00C7D480	00C7E930	808AE780	808AFC30	006A	5.1718		ovl_Bg_Spot06_Objects
0214 (0x00D6)	00C5E550	00C5F480	8088F810	80890740	006B	3.7968		ovl_Bg_Ice_Objects
0215 (0x00D7)	00C50A40	00C51300	80881D00	808825C0	008D	2.1875		ovl_Bg_Haka_Water
0216 (0x00D8)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0217 (0x00D9)	00E57A10	00E58B10	80AA19A0	80AA2AA0	00D0	4.2500		ovl_En_Ma2
0218 (0x00DA)	00D7EE60	00D80590	809C5830	809C6F60	0001	5.7968		ovl_En_Bom_Chu
0219 (0x00DB)	00E1E130	00E1F240	80A67550	80A68660	0001	4.2656		ovl_En_Horse_Game_Check
0220 (0x00DC)	00CFD7E0	00D11350	80938CD0	8094F2C0	00D3	78.859		ovl_Boss_Tw
0221 (0x00DD)	00E9E420	00EA0BF0	80AE8440	80AEAC10	00D4	9.9531		ovl_En_Rr
0222 (0x00DE)	00D6F980	00D71910	809B6350	809B82E0	00D5	7.8906		ovl_En_Ba
0223 (0x00DF)	00D8B100	00D8BCB0	809D1AE0	809D2690	00D5	2.9218		ovl_En_Bx
0224 (0x00E0)	00D6A750	00D6BBD0	809B1120	809B25A0	00D6	5.1250		ovl_En_Anubice
0225 (0x00E1)	00D6BBD0	00D6CA30	809B25A0	809B3400	00D6	3.5937		ovl_En_Anubice_Fire
0226 (0x00E2)	00C71280	00C71D80	808A2560	808A3060	0072	2.7500		ovl_Bg_Mori_Hashigo
0227 (0x00E3)	00C71D80	00C724E0	808A3060	808A37D0	0072	1.8437		ovl_Bg_Mori_Hashira4
0228 (0x00E4)	00C73350	00C73AD0	808A4640	808A4DC0	0072	1.8750		ovl_Bg_Mori_Idomizu
0229 (0x00E5)	00C85140	00C858C0	808B6440	808B6BC0	017A	1.8750		ovl_Bg_Spot16_Doughnut
0230 (0x00E6)	00C3BDE0	00C3D320	8086D010	8086E550	0096	5.3125		ovl_Bg_Bdan_Switch
0231 (0x00E7)	00E56700	00E57A10	80AA0690	80AA19A0	00E0	4.7656		ovl_En_Ma1
0232 (0x00E8)	00CA5570	00CC80C0	808D6870	808FCF40	00E1	138.82		ovl_Boss_Ganon
0233 (0x00E9)	00CF1120	00CFD7E0	8092C5D0	80938CD0	00E2	49.687		ovl_Boss_Sst
0234 (0x00EA)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0235 (0x00EB)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0236 (0x00EC)	00E72C20	00E74710	80ABCBB0	80ABE6A0	00E5	6.7343		ovl_En_Ny
0237 (0x00ED)	00DD1590	00DD4400	80A1A9A0	80A1D810	00E6	11.609		ovl_En_Fr
0238 (0x00EE)	00F35540	00F35FF0	80B86920	80B873D0	0015	2.6718		ovl_Item_Shield
0239 (0x00EF)	00C5F480	00C60800	80890740	80891AC0	006B	4.8750		ovl_Bg_Ice_Shelter
0240 (0x00F0)	00E29BD0	00E2AEF0	80A72FF0	80A74310	0001	4.7812		ovl_En_Ice_Hono
0241 (0x00F1)	00F34D50	00F35540	80B86130	80B86920	00DE	1.9843		ovl_Item_Ocarina
0242 (0x00F2)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0243 (0x00F3)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0244 (0x00F4)	00F35FF0	00F37990	80B873D0	80B88D70	0001	6.4062		ovl_Magic_Dark
0245 (0x00F5)	00D1FFE0	00D23160	80966950	80969AD0	0001	12.375		ovl_Demo_6K
0246 (0x00F6)	00D6CA30	00D6CE00	809B3400	809B37D0	0001	0.9531		ovl_En_Anubice_Tag
0247 (0x00F7)	00C4AB40	00C4BD00	8087BDF0	8087CFC0	0069	4.4375		ovl_Bg_Haka_Gate
0248 (0x00F8)	00C83550	00C83930	808B4850	808B4C30	00F0	0.9687		ovl_Bg_Spot15_Saku
0249 (0x00F9)	00C666B0	00C66E00	80897970	808980C0	011F	1.8281		ovl_Bg_Jya_Goroiwa
0250 (0x00FA)	00C6A180	00C6A9B0	8089B440	8089BC70	00F1	2.0468		ovl_Bg_Jya_Zurerukabe
0251 (0x00FB)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0252 (0x00FC)	00C64630	00C666B0	808958F0	80897970	00F1	8.1250		ovl_Bg_Jya_Cobra
0253 (0x00FD)	00C68480	00C688E0	80899740	80899BA0	00F1	1.0937		ovl_Bg_Jya_Kanaami
0254 (0x00FE)	00F1F6A0	00F33D70	80B699A0	80B85150	015B	81.703		ovl_Fishing
0255 (0x00FF)	00F49DA0	00F4BBF0	80B9B180	80B9CFD0	0003	7.5781		ovl_Obj_Oshihiki
0256 (0x0100)	00C46EC0	00C47420	80878160	808786C0	0181	1.3437		ovl_Bg_Gate_Shutter
